Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / Australia,Price / Australia,Compare At Price / Australia,Included / Austria,Price / Austria,Compare At Price / Austria,Included / Belgium,Price / Belgium,Compare At Price / Belgium,Included / Canada,Price / Canada,Compare At Price / Canada,Included / China,Price / China,Compare At Price / China,Included / Denmark,Price / Denmark,Compare At Price / Denmark,Included / France,Price / France,Compare At Price / France,Included / Germany,Price / Germany,Compare At Price / Germany,Included / Hong Kong SAR,Price / Hong Kong SAR,Compare At Price / Hong Kong SAR,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Included / Ireland,Price / Ireland,Compare At Price / Ireland,Included / Israel,Price / Israel,Compare At Price / Israel,Included / Italy,Price / Italy,Compare At Price / Italy,Included / Japan,Price / Japan,Compare At Price / Japan,Included / Lebanon,Price / Lebanon,Compare At Price / Lebanon,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Included / Netherlands,Price / Netherlands,Compare At Price / Netherlands,Included / New Zealand,Price / New Zealand,Compare At Price / New Zealand,Included / Norway,Price / Norway,Compare At Price / Norway,Included / Saudi Arabia,Price / Saudi Arabia,Compare At Price / Saudi Arabia,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / South Korea,Price / South Korea,Compare At Price / South Korea,Included / Spain,Price / Spain,Compare At Price / Spain,Included / Sweden,Price / Sweden,Compare At Price / Sweden,Included / Switzerland,Price / Switzerland,Compare At Price / Switzerland,Included / Taiwan,Price / Taiwan,Compare At Price / Taiwan,Included / United Arab Emirates,Price / United Arab Emirates,Compare At Price / United Arab Emirates,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
champion-hoodie,,,,,,,,,Navy,,M,,,'43903264006771173879,484.980962004,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/54a4d888cb57d9d83fa3b2509325da48.jpg?v=1677351825,11,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/26fa3e2e5419fab00b5f227b0cf7c276.jpg?v=1677351833,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Royal Blue,,M,,,'14079331210616877447,484.980962004,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/bb0d446c616c4e39fc1cc1f76f546416.jpg?v=1677351825,12,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/01700e7a72188bb91a61d2be4898e7d4.jpg?v=1677351825,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,White,,M,,,'21156503864671331776,484.980962004,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/01700e7a72188bb91a61d2be4898e7d4.jpg?v=1677351825,13,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/5a8174e3cf3a8815b6b723c95cdf8747.jpg?v=1677351811,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Light Steel,,L,,,'87249214216816099356,540.999619699,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/b37e3e11d76226ebee205311d197bf5f.jpg?v=1677351825,14,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/ac15c1d75c7cb98cf44ec165c8a27363.jpg?v=1677351817,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Navy,,L,,,'25010964172707386559,540.999619699,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/2d36b635fff816ffb137b4537ada5485.jpg?v=1677351825,15,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/26fa3e2e5419fab00b5f227b0cf7c276.jpg?v=1677351833,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Royal Blue,,L,,,'25821222747644476234,540.999619699,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/cc71f8af1a1036ae4b191e76a01f9fdc.jpg?v=1677351833,16,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/01700e7a72188bb91a61d2be4898e7d4.jpg?v=1677351825,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,White,,L,,,'14440958168041569659,540.999619699,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/26fa3e2e5419fab00b5f227b0cf7c276.jpg?v=1677351833,17,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/5a8174e3cf3a8815b6b723c95cdf8747.jpg?v=1677351811,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Light Steel,,XL,,,'13306155257953208687,586.993886017,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/d6f460e790a3e1403ffc7d59f71e919a.jpg?v=1677351833,18,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/ac15c1d75c7cb98cf44ec165c8a27363.jpg?v=1677351817,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Navy,,XL,,,'11149529450028415796,586.993886017,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/ad53e0a003bb6d93c7eeecefa45b1034.jpg?v=1677351833,19,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/26fa3e2e5419fab00b5f227b0cf7c276.jpg?v=1677351833,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Royal Blue,,XL,,,'28340440482820068906,586.993886017,,deny,printify,75.75,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/6620571d11853dfa1dfc0f324f483983.jpg?v=1677351833,20,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/01700e7a72188bb91a61d2be4898e7d4.jpg?v=1677351825,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,White,,XL,,,'36061161995036502018,586.993886017,,deny,printify,75.75,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/5a8174e3cf3a8815b6b723c95cdf8747.jpg?v=1677351811,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Light Steel,,2XL,,,'28207948549911190622,644.010446926,,deny,printify,85.67,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/ac15c1d75c7cb98cf44ec165c8a27363.jpg?v=1677351817,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Navy,,2XL,,,'24619246207305331063,644.010446926,,deny,printify,85.67,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/26fa3e2e5419fab00b5f227b0cf7c276.jpg?v=1677351833,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,Royal Blue,,2XL,,,'30527387642431760171,644.010446926,,deny,printify,85.67,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/01700e7a72188bb91a61d2be4898e7d4.jpg?v=1677351825,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-hoodie,,,,,,,,,White,,2XL,,,'24211318984244881624,644.010446926,,deny,printify,85.67,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/5a8174e3cf3a8815b6b723c95cdf8747.jpg?v=1677351811,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-womens-heritage-cropped-t-shirt,Champion Women's Heritage Cropped T-Shirt,"<p>Champion is back with another addition – the Champion Heritage t-shirt for women. Made with 100% cotton, this jersey puts both comfort and style at the forefront. With the signature “C” Champion logo patch on the left cuff, durable, double-needle stitching throughout the shirt, and a modern, cropped fit – this shirt has all the markings of an instant classic. </p>
<p>.: 100% cotton jersey<br>.: Medium fabric (7.0 oz /yd² (240 g/m²))<br>.: Modern cropped fit<br>.: Sewn-in label<br>.: ""C"" logo on the left sleeve</p>",Printify,,T-Shirt,"Cotton, Crew neck, Crop tops, Cropped, DTG, T-shirts, Women's Clothing",true,Color,Oxford Grey,Size,XS,,,'98679084272949599287,127.0058636,,deny,printify,42.67,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/a3433d2b3426f17b8a9b9cb673cbc01e.jpg?v=1677350498,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/a3433d2b3426f17b8a9b9cb673cbc01e.jpg?v=1677350498,lb,,,true,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
champion-womens-heritage-cropped-t-shirt,,,,,,,,,Oxford Grey,,S,,,'24411794181775662596,138.980702168,,deny,printify,45.85,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/750ffff2321cecf3f1b8500b4bad9289.jpg?v=1677350498,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/a3433d2b3426f17b8a9b9cb673cbc01e.jpg?v=1677350498,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-womens-heritage-cropped-t-shirt,,,,,,,,,Oxford Grey,,M,,,'13006540545697958517,152.996706401,,deny,printify,46.27,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/2ab0cbcfdd3aa50fb7f8cfb5bfd3372c.jpg?v=1677350498,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/a3433d2b3426f17b8a9b9cb673cbc01e.jpg?v=1677350498,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-womens-heritage-cropped-t-shirt,,,,,,,,,Oxford Grey,,L,,,'27321383134239605632,167.012710634,,deny,printify,46.52,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/67f77c4807ad2ac3a504769ea7954910_ebfd101e-7a01-4420-9b60-b7dfa9091878.jpg?v=1677350498,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/a3433d2b3426f17b8a9b9cb673cbc01e.jpg?v=1677350498,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-womens-heritage-cropped-t-shirt,,,,,,,,,White,,S,,,'28988789907328397666,138.980702168,,deny,printify,44.88,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/2f49c3889176ad15c86b8de0581a5fa1_948ef17e-7293-4ce4-af03-dea6f407c239.jpg?v=1677350498,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/67f77c4807ad2ac3a504769ea7954910_ebfd101e-7a01-4420-9b60-b7dfa9091878.jpg?v=1677350498,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-womens-heritage-cropped-t-shirt,,,,,,,,,White,,M,,,'61990632838232813373,152.996706401,,deny,printify,45.30,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/c40a86a0ef8bd2246cf8f3b247a10406.jpg?v=1677350507,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/67f77c4807ad2ac3a504769ea7954910_ebfd101e-7a01-4420-9b60-b7dfa9091878.jpg?v=1677350498,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-womens-heritage-cropped-t-shirt,,,,,,,,,White,,L,,,'20930154533589424359,167.012710634,,deny,printify,45.55,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/1b5ead5c83d71be85195168be94eaf43.jpg?v=1677350507,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/67f77c4807ad2ac3a504769ea7954910_ebfd101e-7a01-4420-9b60-b7dfa9091878.jpg?v=1677350498,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-womens-heritage-cropped-t-shirt,,,,,,,,,Black,,2XL,,,'19633154144351668273,188.014037365,,deny,printify,49.45,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/7b301b8a553be289f8b9b736d0ad5dd9.jpg?v=1677350507,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/1b5ead5c83d71be85195168be94eaf43.jpg?v=1677350507,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-womens-heritage-cropped-t-shirt,,,,,,,,,Pink Candy,,2XL,,,'17923931734267725635,188.014037365,,deny,printify,49.80,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/381656a74037c2e6e5cc952ed4aba30c.jpg?v=1677350507,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/12c9598927378d3b58807ba9fb86463e.jpg?v=1677350507,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-womens-heritage-cropped-t-shirt,,,,,,,,,White,,2XL,,,'31404462558362927657,188.014037365,,deny,printify,48.80,,true,true,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/12c9598927378d3b58807ba9fb86463e.jpg?v=1677350507,10,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/67f77c4807ad2ac3a504769ea7954910_ebfd101e-7a01-4420-9b60-b7dfa9091878.jpg?v=1677350498,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-womens-heritage-cropped-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/230bfffb227bb075164cb0608a56bd3e.jpg?v=1677350514,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champion-womens-heritage-cropped-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0713/0123/5004/products/e22a235f13469746e01634527c697ffe.jpg?v=1677350514,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
